,id,product_title,product_uid,relevance,search_term,product_description,brand,product_info,len_of_query,len_of_title,len_of_description,len_of_brand,query_in_title,query_in_description,query_last_word_in_title,query_last_word_in_description,word_in_title,word_in_description,ratio_title,ratio_description,attr,word_in_brand,ratio_brand,brand_feature,search_term_feature
49,178,hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit,100033,1.0,kitchen cabinet finish,this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,hdx,kitchen cabinet finish	hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit	this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,3,16,158,1,0,0,1,1,1,2,0.3333333333333333,0.6666666666666666,kitchen cabinet finish	hdx,0,0.0,1060,22
50,179,hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit,100033,3.0,kitchen wire shelf tier,this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,hdx,kitchen wire shelf tier	hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit	this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,4,16,158,1,0,0,0,1,1,4,0.25,1.0,kitchen wire shelf tier	hdx,0,0.0,1060,23
51,181,hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit,100033,2.67,pantri rack,this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,hdx,pantri rack	hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit	this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,2,16,158,1,0,0,0,0,0,1,0.0,0.5,pantri rack	hdx,0,0.0,1060,11
52,182,hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit,100033,2.67,plastic storag rack,this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,hdx,plastic storag rack	hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit	this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,3,16,158,1,0,0,0,0,0,1,0.0,0.3333333333333333,plastic storag rack	hdx,0,0.0,1060,19
53,186,hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit,100033,3.0,shelv metal,this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,hdx,shelv metal	hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit	this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,2,16,158,1,0,0,0,0,1,1,0.5,0.5,shelv metal	hdx,0,0.0,1060,11
54,191,hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit,100033,2.67,steel shelv,this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,hdx,steel shelv	hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit	this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,2,16,158,1,0,0,1,1,1,2,0.5,1.0,steel shelv	hdx,0,0.0,1060,11
55,193,hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit,100033,3.0,storag shelv,this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,hdx,storag shelv	hdx 48in. w xbi 72in. h xbi 18in. d decor wire chrome finish commerci shelv unit	this easi to assembl decor wire chrome finish commerci shelv unit from hdx provid storag space for ani room and purpos includ commerci industri and residenti use the 6 tier shelv unit is made of tubular steel and wire coat with a durabl chrome finish all shelf height are easili adjust and the unit can be assembl without ani tool each shelf hold up to 600lb. when even distribut and featur a total unit weight capac of 3600lb. for optim use in kitchen pantri util room warehous and garag each shelf support 600lb. when even distributed; total unit weight capac is 3600lb. no tool requir for easi assemblytubular steel construct with durabl chrome finish offer solid support for a varieti of heavi duti itemsperfect storag solut for commerci or residenti use in ani room offic or jobsit 6 fulli adjust shelv and leg help stabil unit on uneven flooringnsf certifi for food storagenote: product may vari xbi store ,2,16,158,1,0,0,1,1,1,2,0.5,1.0,storag shelv	hdx,0,0.0,1060,12
56,195,marshalltown masonri brush,100034,1.0,mortar tool,use the marshalltown masonri brush for a wide varieti of task includ your concret cement and masonri need the white tampico fiber bristl are set in a hardwood block bristl are made of white tampico fiberbristl are set in a hardwood blockus for your concret cement and masonri needsus for a varieti of other task,marshalltown,mortar tool	marshalltown masonri brush	use the marshalltown masonri brush for a wide varieti of task includ your concret cement and masonri need the white tampico fiber bristl are set in a hardwood block bristl are made of white tampico fiberbristl are set in a hardwood blockus for your concret cement and masonri needsus for a varieti of other task,2,3,55,1,0,0,0,0,0,0,0.0,0.0,mortar tool	marshalltown,0,0.0,1063,11
57,201,rubbermaid 12in. d singl track bracket,100036,2.33,12 boltless bracket,this 12in. singl track bracket from rubbermaid mount to singl track upright it can be move up or down to suit your uniqu storag and display need coat with durabl epoxi paint the bracket has a smooth finish and is resist to chip or peel no tool are need to attach the bracket; it fasten direct into the upright no instal tool required; bracket attach to your wall through a singl track uprightdur epoxi paint coat resist chip and peelingdesign to support medium and light duti shelvingcan be move up or down along the upright to best meet your storag or display need,rubbermaid,12 boltless bracket	rubbermaid 12in. d singl track bracket	this 12in. singl track bracket from rubbermaid mount to singl track upright it can be move up or down to suit your uniqu storag and display need coat with durabl epoxi paint the bracket has a smooth finish and is resist to chip or peel no tool are need to attach the bracket; it fasten direct into the upright no instal tool required; bracket attach to your wall through a singl track uprightdur epoxi paint coat resist chip and peelingdesign to support medium and light duti shelvingcan be move up or down along the upright to best meet your storag or display need,3,6,103,1,0,0,1,1,2,2,0.6666666666666666,0.6666666666666666,12 boltless bracket	rubbermaid,0,0.0,1066,19
58,202,rubbermaid 12in. d singl track bracket,100036,2.33,12in. 16in. singl track bracket,this 12in. singl track bracket from rubbermaid mount to singl track upright it can be move up or down to suit your uniqu storag and display need coat with durabl epoxi paint the bracket has a smooth finish and is resist to chip or peel no tool are need to attach the bracket; it fasten direct into the upright no instal tool required; bracket attach to your wall through a singl track uprightdur epoxi paint coat resist chip and peelingdesign to support medium and light duti shelvingcan be move up or down along the upright to best meet your storag or display need,rubbermaid,12in. 16in. singl track bracket	rubbermaid 12in. d singl track bracket	this 12in. singl track bracket from rubbermaid mount to singl track upright it can be move up or down to suit your uniqu storag and display need coat with durabl epoxi paint the bracket has a smooth finish and is resist to chip or peel no tool are need to attach the bracket; it fasten direct into the upright no instal tool required; bracket attach to your wall through a singl track uprightdur epoxi paint coat resist chip and peelingdesign to support medium and light duti shelvingcan be move up or down along the upright to best meet your storag or display need,5,6,103,1,0,0,1,1,4,4,0.8,0.8,12in. 16in. singl track bracket	rubbermaid,0,0.0,1066,31
59,203,rubbermaid 12in. d singl track bracket,100036,3.0,12 wire shelf bracket,this 12in. singl track bracket from rubbermaid mount to singl track upright it can be move up or down to suit your uniqu storag and display need coat with durabl epoxi paint the bracket has a smooth finish and is resist to chip or peel no tool are need to attach the bracket; it fasten direct into the upright no instal tool required; bracket attach to your wall through a singl track uprightdur epoxi paint coat resist chip and peelingdesign to support medium and light duti shelvingcan be move up or down along the upright to best meet your storag or display need,rubbermaid,12 wire shelf bracket	rubbermaid 12in. d singl track bracket	this 12in. singl track bracket from rubbermaid mount to singl track upright it can be move up or down to suit your uniqu storag and display need coat with durabl epoxi paint the bracket has a smooth finish and is resist to chip or peel no tool are need to attach the bracket; it fasten direct into the upright no instal tool required; bracket attach to your wall through a singl track uprightdur epoxi paint coat resist chip and peelingdesign to support medium and light duti shelvingcan be move up or down along the upright to best meet your storag or display need,4,6,103,1,0,0,1,1,2,2,0.5,0.5,12 wire shelf bracket	rubbermaid,0,0.0,1066,21
60,205,rubbermaid 12in. d singl track bracket,100036,2.33,shelf track,this 12in. singl track bracket from rubbermaid mount to singl track upright it can be move up or down to suit your uniqu storag and display need coat with durabl epoxi paint the bracket has a smooth finish and is resist to chip or peel no tool are need to attach the bracket; it fasten direct into the upright no instal tool required; bracket attach to your wall through a singl track uprightdur epoxi paint coat resist chip and peelingdesign to support medium and light duti shelvingcan be move up or down along the upright to best meet your storag or display need,rubbermaid,shelf track	rubbermaid 12in. d singl track bracket	this 12in. singl track bracket from rubbermaid mount to singl track upright it can be move up or down to suit your uniqu storag and display need coat with durabl epoxi paint the bracket has a smooth finish and is resist to chip or peel no tool are need to attach the bracket; it fasten direct into the upright no instal tool required; bracket attach to your wall through a singl track uprightdur epoxi paint coat resist chip and peelingdesign to support medium and light duti shelvingcan be move up or down along the upright to best meet your storag or display need,2,6,103,1,0,0,1,1,1,1,0.5,0.5,shelf track	rubbermaid,0,0.0,1066,11
61,210,huski 9 pocket mainten pouch,100037,2.5,huski tool bag,the huski 9 pocket mainten pouch has multipl pocket and loop to hold tool and accessori this durabl littl pouch will fit comfort on most 2in. wide work belt it ideal for do small project around your home or on a job site 3 main pocket and 6 tool pocket 4in. terior elast loop for toolst chain tape holdermet tape measur cliptool snapnote: product may vari xbi store,huski,huski tool bag	huski 9 pocket mainten pouch	the huski 9 pocket mainten pouch has multipl pocket and loop to hold tool and accessori this durabl littl pouch will fit comfort on most 2in. wide work belt it ideal for do small project around your home or on a job site 3 main pocket and 6 tool pocket 4in. terior elast loop for toolst chain tape holdermet tape measur cliptool snapnote: product may vari xbi store,3,5,68,1,0,0,0,0,1,2,0.3333333333333333,0.6666666666666666,huski tool bag	huski,1,1.0,1069,14
62,214,ridgid xbi 4 18volt. 12in. impact wrench (tool only),100038,2.33,impact driver drill batteri power,ridgid present the xbi 4 18volt. 12in. impact wrench as a consol item with consol onli tool you have the option to add on to exist kit to creat your own this compact and lightweight cordless tool deliv 325ft. lbs of torqu to power through the most demand applic and come load with featur such as exclus grip light technolog that engag the led light simpli xbi hold the tool innov hex grip for maximum comfort and a tri beam led for optimum illumin back xbi ridgid lifetim servic agreement you can count on free batteri free part and free servic for the entir life of your tool includ tool onli to creat your own kit; batteri and charger sold separatelyhigh torqu output produc 325ft. lbs for heavi duti applicationsdi cast gear box for increas durabl and profession qualiti 12in. dent pin anvil make it compat with popular impact rate socketshex grip innov micro textur for secur grip and maximum user comfortgrip light engag tri beam led light independ of trigger to illumin work spacecordless design enabl easi use and portabl,ridgid,impact driver drill batteri power	ridgid xbi 4 18volt. 12in. impact wrench (tool only)	ridgid present the xbi 4 18volt. 12in. impact wrench as a consol item with consol onli tool you have the option to add on to exist kit to creat your own this compact and lightweight cordless tool deliv 325ft. lbs of torqu to power through the most demand applic and come load with featur such as exclus grip light technolog that engag the led light simpli xbi hold the tool innov hex grip for maximum comfort and a tri beam led for optimum illumin back xbi ridgid lifetim servic agreement you can count on free batteri free part and free servic for the entir life of your tool includ tool onli to creat your own kit; batteri and charger sold separatelyhigh torqu output produc 325ft. lbs for heavi duti applicationsdi cast gear box for increas durabl and profession qualiti 12in. dent pin anvil make it compat with popular impact rate socketshex grip innov micro textur for secur grip and maximum user comfortgrip light engag tri beam led light independ of trigger to illumin work spacecordless design enabl easi use and portabl,5,9,181,1,0,0,0,1,1,3,0.2,0.6,impact driver drill batteri power	ridgid,0,0.0,1072,33
63,215,ridgid xbi 4 18volt. 12in. impact wrench (tool only),100038,3.0,impact wrench,ridgid present the xbi 4 18volt. 12in. impact wrench as a consol item with consol onli tool you have the option to add on to exist kit to creat your own this compact and lightweight cordless tool deliv 325ft. lbs of torqu to power through the most demand applic and come load with featur such as exclus grip light technolog that engag the led light simpli xbi hold the tool innov hex grip for maximum comfort and a tri beam led for optimum illumin back xbi ridgid lifetim servic agreement you can count on free batteri free part and free servic for the entir life of your tool includ tool onli to creat your own kit; batteri and charger sold separatelyhigh torqu output produc 325ft. lbs for heavi duti applicationsdi cast gear box for increas durabl and profession qualiti 12in. dent pin anvil make it compat with popular impact rate socketshex grip innov micro textur for secur grip and maximum user comfortgrip light engag tri beam led light independ of trigger to illumin work spacecordless design enabl easi use and portabl,ridgid,impact wrench	ridgid xbi 4 18volt. 12in. impact wrench (tool only)	ridgid present the xbi 4 18volt. 12in. impact wrench as a consol item with consol onli tool you have the option to add on to exist kit to creat your own this compact and lightweight cordless tool deliv 325ft. lbs of torqu to power through the most demand applic and come load with featur such as exclus grip light technolog that engag the led light simpli xbi hold the tool innov hex grip for maximum comfort and a tri beam led for optimum illumin back xbi ridgid lifetim servic agreement you can count on free batteri free part and free servic for the entir life of your tool includ tool onli to creat your own kit; batteri and charger sold separatelyhigh torqu output produc 325ft. lbs for heavi duti applicationsdi cast gear box for increas durabl and profession qualiti 12in. dent pin anvil make it compat with popular impact rate socketshex grip innov micro textur for secur grip and maximum user comfortgrip light engag tri beam led light independ of trigger to illumin work spacecordless design enabl easi use and portabl,2,9,181,1,1,1,1,1,2,2,1.0,1.0,impact wrench	ridgid,0,0.0,1072,13
64,223,emberglow 25000 btu vent free dual fuel gas stove with thermostat,100039,2.33,pellet stove,the emberglow vent free gas stove help add warmth and ambianc to your home the stove can heat up to 1000sq.ft. of space and featur a thermostat control for easi temperatur mainten the stove oxygen deplet sensor and automat shut off featur help provid safeti and it black metal case can help add an enhanc look to your decor automat thermostat can be set to the desir heat output and the system will automat maintain that temperatureunit has dual fuel technolog which mean it can be oper use natur gas or liquid propan 99.9% energi effici the vent free design keep 100% of the heat in your homehand paint log give this unit the most realist look of a natur firedu burner provid real yellow flame throughout the logsequip with a safeti oxygen deplet sensor (o d s ) and automat shut offno electr requir great for use as supplement heat dure power outag,emberglow,pellet stove	emberglow 25000 btu vent free dual fuel gas stove with thermostat	the emberglow vent free gas stove help add warmth and ambianc to your home the stove can heat up to 1000sq.ft. of space and featur a thermostat control for easi temperatur mainten the stove oxygen deplet sensor and automat shut off featur help provid safeti and it black metal case can help add an enhanc look to your decor automat thermostat can be set to the desir heat output and the system will automat maintain that temperatureunit has dual fuel technolog which mean it can be oper use natur gas or liquid propan 99.9% energi effici the vent free design keep 100% of the heat in your homehand paint log give this unit the most realist look of a natur firedu burner provid real yellow flame throughout the logsequip with a safeti oxygen deplet sensor (o d s ) and automat shut offno electr requir great for use as supplement heat dure power outag,2,11,154,1,0,0,1,1,1,1,0.5,0.5,pellet stove	emberglow,0,0.0,1075,12
65,226,emberglow 25000 btu vent free dual fuel gas stove with thermostat,100039,2.33,regist for fuel,the emberglow vent free gas stove help add warmth and ambianc to your home the stove can heat up to 1000sq.ft. of space and featur a thermostat control for easi temperatur mainten the stove oxygen deplet sensor and automat shut off featur help provid safeti and it black metal case can help add an enhanc look to your decor automat thermostat can be set to the desir heat output and the system will automat maintain that temperatureunit has dual fuel technolog which mean it can be oper use natur gas or liquid propan 99.9% energi effici the vent free design keep 100% of the heat in your homehand paint log give this unit the most realist look of a natur firedu burner provid real yellow flame throughout the logsequip with a safeti oxygen deplet sensor (o d s ) and automat shut offno electr requir great for use as supplement heat dure power outag,emberglow,regist for fuel	emberglow 25000 btu vent free dual fuel gas stove with thermostat	the emberglow vent free gas stove help add warmth and ambianc to your home the stove can heat up to 1000sq.ft. of space and featur a thermostat control for easi temperatur mainten the stove oxygen deplet sensor and automat shut off featur help provid safeti and it black metal case can help add an enhanc look to your decor automat thermostat can be set to the desir heat output and the system will automat maintain that temperatureunit has dual fuel technolog which mean it can be oper use natur gas or liquid propan 99.9% energi effici the vent free design keep 100% of the heat in your homehand paint log give this unit the most realist look of a natur firedu burner provid real yellow flame throughout the logsequip with a safeti oxygen deplet sensor (o d s ) and automat shut offno electr requir great for use as supplement heat dure power outag,3,11,154,1,0,0,1,1,1,2,0.3333333333333333,0.6666666666666666,regist for fuel	emberglow,0,0.0,1075,15
66,227,emberglow 25000 btu vent free dual fuel gas stove with thermostat,100039,2.33,stove and mi,the emberglow vent free gas stove help add warmth and ambianc to your home the stove can heat up to 1000sq.ft. of space and featur a thermostat control for easi temperatur mainten the stove oxygen deplet sensor and automat shut off featur help provid safeti and it black metal case can help add an enhanc look to your decor automat thermostat can be set to the desir heat output and the system will automat maintain that temperatureunit has dual fuel technolog which mean it can be oper use natur gas or liquid propan 99.9% energi effici the vent free design keep 100% of the heat in your homehand paint log give this unit the most realist look of a natur firedu burner provid real yellow flame throughout the logsequip with a safeti oxygen deplet sensor (o d s ) and automat shut offno electr requir great for use as supplement heat dure power outag,emberglow,stove and mi	emberglow 25000 btu vent free dual fuel gas stove with thermostat	the emberglow vent free gas stove help add warmth and ambianc to your home the stove can heat up to 1000sq.ft. of space and featur a thermostat control for easi temperatur mainten the stove oxygen deplet sensor and automat shut off featur help provid safeti and it black metal case can help add an enhanc look to your decor automat thermostat can be set to the desir heat output and the system will automat maintain that temperatureunit has dual fuel technolog which mean it can be oper use natur gas or liquid propan 99.9% energi effici the vent free design keep 100% of the heat in your homehand paint log give this unit the most realist look of a natur firedu burner provid real yellow flame throughout the logsequip with a safeti oxygen deplet sensor (o d s ) and automat shut offno electr requir great for use as supplement heat dure power outag,3,11,154,1,0,0,0,0,1,2,0.3333333333333333,0.6666666666666666,stove and mi	emberglow,0,0.0,1075,12
67,233,emberglow 25000 btu vent free dual fuel gas stove with thermostat,100039,3.0,ventless gas stove,the emberglow vent free gas stove help add warmth and ambianc to your home the stove can heat up to 1000sq.ft. of space and featur a thermostat control for easi temperatur mainten the stove oxygen deplet sensor and automat shut off featur help provid safeti and it black metal case can help add an enhanc look to your decor automat thermostat can be set to the desir heat output and the system will automat maintain that temperatureunit has dual fuel technolog which mean it can be oper use natur gas or liquid propan 99.9% energi effici the vent free design keep 100% of the heat in your homehand paint log give this unit the most realist look of a natur firedu burner provid real yellow flame throughout the logsequip with a safeti oxygen deplet sensor (o d s ) and automat shut offno electr requir great for use as supplement heat dure power outag,emberglow,ventless gas stove	emberglow 25000 btu vent free dual fuel gas stove with thermostat	the emberglow vent free gas stove help add warmth and ambianc to your home the stove can heat up to 1000sq.ft. of space and featur a thermostat control for easi temperatur mainten the stove oxygen deplet sensor and automat shut off featur help provid safeti and it black metal case can help add an enhanc look to your decor automat thermostat can be set to the desir heat output and the system will automat maintain that temperatureunit has dual fuel technolog which mean it can be oper use natur gas or liquid propan 99.9% energi effici the vent free design keep 100% of the heat in your homehand paint log give this unit the most realist look of a natur firedu burner provid real yellow flame throughout the logsequip with a safeti oxygen deplet sensor (o d s ) and automat shut offno electr requir great for use as supplement heat dure power outag,3,11,154,1,0,0,1,1,2,2,0.6666666666666666,0.6666666666666666,ventless gas stove	emberglow,0,0.0,1075,18
68,241,american standard cadet 3 flowis 2 piec 1.28 gpf round front toilet in bone,100042,3.0,american standard bone round toilet,updat the look of your bathroom with help from the cadet 3 flowis no tool 2 piec high effici round front toilet in bone the toilet offer a watersens certifi design that use 1.28 gpf to help conserv water it everclean surfac help inhibit the growth of stain and odor caus bacteria mold and mildew 2 piec design featur a separ tank and bowlround front bowl for fit in smaller bathroomswatersens certifi high effici design use 1.28 gpf for signific water savingsconstruct with durabl vitreous china for cleaner long last usecadet 3 flush system with 2 18in. glaze trap way and overs 3in. flush valv for a power flushinclud plastic seat and cover with everclean surfac wax ring for easi installationeverclean surfac help inhibit growth of stain and odor caus bacteria mold and mildew 5 year warrantyfeatures:note: product may vari xbi store,american standard,american standard bone round toilet	american standard cadet 3 flowis 2 piec 1.28 gpf round front toilet in bone	updat the look of your bathroom with help from the cadet 3 flowis no tool 2 piec high effici round front toilet in bone the toilet offer a watersens certifi design that use 1.28 gpf to help conserv water it everclean surfac help inhibit the growth of stain and odor caus bacteria mold and mildew 2 piec design featur a separ tank and bowlround front bowl for fit in smaller bathroomswatersens certifi high effici design use 1.28 gpf for signific water savingsconstruct with durabl vitreous china for cleaner long last usecadet 3 flush system with 2 18in. glaze trap way and overs 3in. flush valv for a power flushinclud plastic seat and cover with everclean surfac wax ring for easi installationeverclean surfac help inhibit growth of stain and odor caus bacteria mold and mildew 5 year warrantyfeatures:note: product may vari xbi store,5,14,142,2,0,0,1,1,5,3,1.0,0.6,american standard bone round toilet	american standard,2,1.0,1078,35
